Year,Month,"-Romer,NotSeasonallyAdjusted_13-componentIndex_Cb28_Index1909100 ",AlternativeIndex(lessWoolReceipts)_Cb29_Index1909100 ,FederalReserveBoard_NotSeasonallyAdjusted_Cb30_Index1997100 ,FederalReserveBoard_SeasonallyAdjusted_Cb31_Index1997100 
1884,1,32.663,,,
1884,2,29.431,,,
1884,3,27.334,,,
1884,4,32.417,,,
1884,5,33.379,,,
1884,6,32.529,,,
1884,7,30.341,,,
1884,8,33.642,,,
1884,9,31.086,,,
1884,10,39.22,,,
1884,11,41.07,,,
1884,12,42.527,,,
1885,1,35.326,,,
1885,2,31.07,,,
1885,3,31.372,,,
1885,4,33.941,,,
1885,5,34.757,,,
1885,6,34.386,,,
1885,7,30.918,,,
1885,8,31.329,,,
1885,9,33.523,,,
1885,10,43.127,,,
1885,11,47.974,,,
1885,12,42.973,,,
1886,1,39.204,,,
1886,2,37.032,,,
1886,3,36.119,,,
1886,4,37.557,,,
1886,5,39.065,,,
1886,6,42.485,,,
1886,7,38.719,,,
1886,8,38.624,,,
1886,9,41.653,,,
1886,10,43.643,,,
1886,11,47.502,,,
1886,12,45.893,,,
1887,1,39.015,,,
1887,2,39.705,,,
1887,3,39.667,,,
1887,4,38.546,,,
1887,5,38.505,,,
1887,6,37.058,,,
1887,7,36.082,,,
1887,8,39.074,,,
1887,9,41.553,,,
1887,10,47.254,,,
1887,11,48.023,,,
1887,12,43.236,,,
1888,1,39.48,,,
1888,2,38.688,,,
1888,3,40.647,,,
1888,4,39.423,,,
1888,5,39.557,,,
1888,6,40.647,,,
1888,7,43.737,,,
1888,8,42.953,,,
1888,9,45.294,,,
1888,10,48.058,,,
1888,11,48.079,,,
1888,12,47.629,,,
1889,1,42.128,,,
1889,2,44.54,,,
1889,3,41.061,,,
1889,4,41.48,,,
1889,5,44.462,,,
1889,6,46.024,,,
1889,7,51.524,,,
1889,8,44.493,,,
1889,9,45.283,,,
1889,10,53.171,,,
1889,11,53.015,,,
1889,12,50.542,,,
1890,1,49.559,,,
1890,2,46.276,,,
1890,3,47.928,,,
1890,4,48.316,,,
1890,5,50.961,,,
1890,6,53.711,,,
1890,7,56.701,,,
1890,8,55.166,,,
1890,9,54.878,,,
1890,10,58.035,,,
1890,11,61.391,,,
1890,12,51.69,,,
1891,1,55.409,,,
1891,2,54.288,,,
1891,3,56.316,,,
1891,4,48.469,,,
1891,5,47.6,,,
1891,6,51.91,,,
1891,7,57.242,,,
1891,8,55.833,,,
1891,9,56.872,,,
1891,10,64.819,,,
1891,11,69.095,,,
1891,12,64.993,,,
1892,1,60.392,,,
1892,2,59.742,,,
1892,3,59.295,,,
1892,4,56.494,,,
1892,5,58.457,,,
1892,6,62.885,,,
1892,7,61.492,,,
1892,8,60.001,,,
1892,9,58.238,,,
1892,10,60.8,,,
1892,11,61.882,,,
1892,12,57.369,,,
1893,1,55.857,,,
1893,2,56.202,,,
1893,3,55.67,,,
1893,4,58.165,,,
1893,5,55.306,,,
1893,6,53.95,,,
1893,7,51.272,,,
1893,8,44.536,,,
1893,9,42.72,,,
1893,10,48.753,,,
1893,11,47.575,,,
1893,12,48.109,,,
1894,1,46.837,,,
1894,2,44.769,,,
1894,3,46.241,,,
1894,4,50.988,,,
1894,5,48.067,,,
1894,6,54.994,,,
1894,7,46.403,,,
1894,8,59.508,,,
1894,9,57.723,,,
1894,10,61.238,,,
1894,11,63.783,,,
1894,12,54.676,,,
1895,1,54.305,,,
1895,2,59.056,,,
1895,3,56.091,,,
1895,4,56.81,,,
1895,5,58.48,,,
1895,6,61.422,,,
1895,7,65.404,,,
1895,8,68.532,,,
1895,9,62.433,,,
1895,10,71.535,,,
1895,11,71.75,,,
1895,12,66.012,,,
1896,1,63.328,,,
1896,2,57.547,,,
1896,3,58.877,,,
1896,4,55.293,,,
1896,5,57.166,,,
1896,6,57.992,,,
1896,7,54.103,,,
1896,8,52.8,,,
1896,9,52.593,,,
1896,10,60.533,,,
1896,11,61.256,,,
1896,12,66.485,,,
1897,1,55.224,,,
1897,2,65.597,60.798,,
1897,3,66.613,57.812,,
1897,4,84.313,59.811,,
1897,5,70.553,63.079,,
1897,6,69.415,63.925,,
1897,7,68.31,60.042,,
1897,8,64.985,,,
1897,9,66.984,,,
1897,10,69.954,,,
1897,11,71.567,,,
1897,12,67.95,,,
1898,1,63.1,,,
1898,2,68.674,,,
1898,3,62.222,,,
1898,4,59.078,,,
1898,5,63.879,,,
1898,6,58.679,,,
1898,7,59.43,,,
1898,8,60.896,,,
1898,9,63.75,,,
1898,10,66.165,,,
1898,11,70.77,,,
1898,12,70.569,,,
1899,1,68.14,,,
1899,2,66.931,,,
1899,3,68.664,,,
1899,4,63.411,,,
1899,5,67.595,,,
1899,6,73.302,,,
1899,7,74.476,,,
1899,8,74.717,,,
1899,9,74.161,,,
1899,10,75.746,,,
1899,11,77.117,,,
1899,12,74.992,,,
1900,1,73.861,,,
1900,2,75.214,,,
1900,3,74.329,,,
1900,4,75.783,,,
1900,5,69.295,,,
1900,6,68.664,,,
1900,7,64.911,,,
1900,8,68.232,,,
1900,9,65.118,,,
1900,10,61.941,,,
1900,11,67.613,,,
1900,12,68.823,,,
1901,1,69.643,,,
1901,2,71.739,,,
1901,3,78.872,,,
1901,4,75.537,,,
1901,5,80.885,,,
1901,6,80.181,,,
1901,7,80.838,,,
1901,8,86.653,,,
1901,9,81.543,,,
1901,10,79.826,,,
1901,11,85.057,,,
1901,12,81.344,,,
1902,1,81.893,,,
1902,2,78.801,,,
1902,4,81.721,,,
1902,5,73.539,,,
1902,6,74.498,,,
1902,7,73.9,,,
1902,8,83.154,,,
1902,9,76.571,,,
1902,10,76.403,,,
1902,11,86.707,,,
1902,12,84.516,,,
1903,1,83.149,,,
1903,2,84.555,,,
1903,3,85.724,,,
1903,4,84.833,,,
1903,5,83.485,,,
1903,6,89.291,,,
1903,7,87.148,,,
1903,8,93.639,,,
1903,9,87.414,,,
1903,10,73.288,,,
1903,11,75.042,,,
1903,12,72.568,,,
1904,1,74.276,,,
1904,2,86.334,,,
1904,3,81.76,,,
1904,4,77.899,,,
1904,5,81.02,,,
1904,6,87.263,,,
1904,7,78.118,,,
1904,8,85.829,,,
1904,9,72.676,,,
1904,10,84.97,,,
1904,11,89.464,,,
1904,12,86.404,,,
1905,1,93.714,,,
1905,2,96.55,,,
1905,3,92.465,,,
1905,4,93.843,,,
1905,5,89.031,,,
1905,6,97.103,,,
1905,7,86.292,,,
1905,8,93.886,,,
1905,9,89.297,,,
1905,10,95.278,,,
1905,11,93.436,,,
1905,12,93.88,,,
1906,1,93.36,,,
1906,2,99.239,,,
1906,3,91.993,,,
1906,4,83.824,,,
1906,5,84.996,,,
1906,6,88.81,,,
1906,7,91.71,,,
1906,8,96.47,,,
1906,9,96.62,,,
1906,10,95.191,,,
1906,11,96.123,,,
1906,12,97.484,,,
1907,1,95.781,,,
1907,2,97.889,,,
1907,3,96.95,,,
1907,4,97.378,,,
1907,5,95.414,,,
1907,6,97.813,,,
1907,7,99.264,,,
1907,8,105.71,,,
1907,9,97.179,,,
1907,10,93.398,,,
1907,11,81.228,,,
1907,12,71.268,,,
1908,1,73.117,,,
1908,2,75.614,,,
1908,3,74.413,,,
1908,4,70.207,,,
1908,5,75.243,,,
1908,6,79.211,,,
1908,7,80.613,,,
1908,8,85.906,,,
1908,9,80.305,,,
1908,10,86.419,,,
1908,11,96.892,,,
1908,12,94.622,,,
1909,1,91.66,,,
1909,2,99.782,,,
1909,3,97.895,,,
1909,4,90.816,,,
1909,5,94.327,,,
1909,6,99.274,,,
1909,7,99.357,,,
1909,8,99.562,,,
1909,9,101.209,,,
1909,10,108.008,,,
1909,11,111.27,,,
1909,12,106.841,,,
1910,1,109.875,,,
1910,2,111.897,,,
1910,3,105.637,,,
1910,4,92.77,,,
1910,5,90.781,,,
1910,6,93.088,,,
1910,7,93.689,,,
1910,8,104.906,,,
1910,9,93.698,,,
1910,10,98.192,,,
1910,11,96.383,,,
1910,12,91.205,,,
1911,1,92.979,,,
1911,2,96.479,,,
1911,3,95.179,,,
1911,4,95.804,,,
1911,5,91.739,,,
1911,6,94.22,,,
1911,7,100.463,,,
1911,8,100.931,,,
1911,9,96.579,,,
1911,10,102.223,,,
1911,11,100.462,,,
1911,12,99.965,,,
1912,1,102.967,,,
1912,2,111.696,,,
1912,3,112.279,,,
1912,4,101.905,,,
1912,5,100.992,,,
1912,6,107.427,,,
1912,7,115.469,,,
1912,8,121.329,,,
1912,9,113.269,,,
1912,10,114.721,,,
1912,11,114.222,,,
1912,12,114.916,,,
1913,1,118.687,,,
1913,2,117.834,,,
1913,3,112.744,,,
1913,4,108.121,,,
1913,5,106.299,,,
1913,6,111.631,,,
1913,7,109.059,,,
1913,8,115.755,,,
1913,9,116.286,,,
1913,10,108.856,,,
1913,11,107.716,,,
1913,12,107.199,,,
1914,1,98.734,,,
1914,2,108.798,,,
1914,3,115.228,,,
1914,4,117.876,,,
1914,5,112.619,,,
1914,6,107.625,,,
1914,7,109.263,,,
1914,8,98.375,,,
1914,9,103.849,,,
1914,10,95.612,,,
1914,11,90.894,,,
1914,12,92.329,,,
1915,1,95.962,,,
1915,2,112.322,,,
1915,3,122.909,,,
1915,4,123.367,,,
1915,5,126.742,,,
1915,6,119.807,,,
1915,7,122.857,,,
1915,8,124.795,,,
1915,9,129.052,,,
1915,10,134.79,,,
1915,11,145.126,,,
1915,12,156.137,,,
1916,1,158.881,,,
1916,2,161.2,,,
1916,3,154.67,,,
1916,4,148.696,,,
1916,5,152.434,,,
1916,6,153.823,,,
1916,7,131.197,,,
1916,8,140.186,,,
1916,9,129.589,,,
1916,10,141.59,,,
1916,11,143.638,,,
1916,12,151.944,,,
1917,1,167.56,,,
1917,2,138.983,,,
1917,3,159.42,,,
1917,4,167.068,,,
1917,5,169.931,,,
1917,6,180.591,,,
1917,7,150.507,,,
1917,8,168.54,,,
1917,9,159.861,,,
1917,10,157.079,,,
1917,11,158.831,,,
1917,12,151.446,,,
1918,1,138.945,,,
1918,2,148.571,,,
1918,3,151.569,,,
1918,4,159.383,,,
1918,5,181.297,,,
1918,6,165.793,,,
1918,7,177.825,,,
1918,8,152.389,,,
1918,9,161.296,,,
1918,10,151.073,,,
1918,11,152.91,,,
1918,12,146.861,,,
1919,1,142.696,,6.095,6.198
1919,2,149.133,,5.855,5.924
1919,3,175.749,,5.718,5.753
1919,4,174.088,,5.821,5.856
1919,5,165.78,,5.992,5.89
1919,6,151.116,,6.368,6.267
1919,7,183.409,,6.574,6.643
1919,8,147.749,,6.711,6.746
1919,9,158.924,,6.745,6.609
1919,10,151,,6.711,6.541
1919,11,184.366,,6.574,6.438
1919,12,183.408,,6.129,6.541
1920,1,188.548,,6.985,7.157
1920,2,200.361,,7.019,7.157
1920,3,205.85,,7.019,7.02
1920,4,184.287,,6.574,6.643
1920,5,155.123,,6.985,6.815
1920,6,165.86,,6.985,6.883
1920,7,160.519,,6.608,6.712
1920,8,163.336,,6.745,6.746
1920,9,134.146,,6.608,6.506
1920,10,124.872,,6.437,6.232
1920,11,142.416,,5.821,5.719
1920,12,121.442,,5.102,5.376
1921,1,123.392,,4.999,5.068
1921,2,131.139,,4.93,4.965
1921,3,130.893,,4.793,4.828
1921,4,123.679,,4.828,4.828
1921,5,106.174,,5.067,4.965
1921,6,114.304,,4.999,4.931
1921,7,108.381,,4.828,4.897
1921,8,119.869,,5.067,5.068
1921,9,117.457,,5.204,5.102
1921,10,133.106,,5.547,5.411
1921,11,143.169,,5.41,5.342
1921,12,151.867,,4.965,5.308
1922,1,152.772,,5.41,5.513
1922,2,176.2,,5.786,5.753
1922,3,169.564,,6.129,6.061
1922,4,137.692,,5.855,5.856
1922,5,134.225,,6.231,6.164
1922,6,157.703,,6.54,6.472
1922,7,171.185,,6.368,6.472
1922,8,150.457,,6.266,6.335
1922,9,141.971,,6.745,6.678
1922,10,202.04,,7.259,7.054
1922,11,185.052,,7.464,7.362
1922,12,211.121,,7.19,7.568
1923,1,213.366,,7.19,7.397
1923,2,207.595,,7.43,7.499
1923,3,219.442,,7.772,7.739
1923,4,218.093,,7.909,7.91
1923,5,220.596,,8.115,8.013
1923,6,218.777,,8.012,7.945
1923,7,183.047,,7.738,7.876
1923,8,164.666,,7.772,7.739
1923,9,136.006,,7.772,7.568
1923,10,159.379,,7.772,7.534
1923,11,156.197,,7.567,7.534
1923,12,189.616,,6.985,7.362
1924,1,174.347,,7.293,7.534
1924,2,203.993,,7.601,7.671
1924,3,171.978,,7.601,7.534
1924,4,207.044,,7.327,7.294
1924,5,166.825,,7.053,6.986
1924,6,155.102,,6.711,6.678
1924,7,141.532,,6.437,6.575
1924,8,146.605,,6.848,6.815
1924,9,161.537,,7.293,7.054
1924,10,192.922,,7.464,7.225
1924,11,201.284,,7.396,7.362
1924,12,186.075,,7.19,7.568
1925,1,211.625,,7.601,7.808
1925,2,191.158,,7.772,7.808
1925,3,207.232,,7.875,7.808
1925,4,189.9,,7.909,7.876
1925,5,194.892,,7.909,7.842
1925,6,185.285,,7.772,7.773
1925,7,189.792,,7.772,7.979
1925,8,192.751,,7.909,7.842
1925,9,179.293,,8.012,7.739
1925,10,198.567,,8.286,8.047
1925,11,215.119,,8.217,8.219
