trough,peak,Contraction(peakToTrough)_Cb5_Months ,Expansion(troughToPeak)_Cb6_Months ,FullCycle_TroughToTrough_Cb7_Months ,FullCycle_PeakToPeak_Cb8_Months 
Dec 1854,Jun 1857,,30,,
Dec 1858,Oct 1860,18,22,48,40
Jun 1861,Apr 1865,8,46,30,54
Dec 1867,Jun 1869,32,18,78,50
Dec 1870,Oct 1873,18,34,36,52
Mar 1879,Mar 1882,65,36,99,101
May 1885,Mar 1887,38,22,74,60
Apr 1888,Jul 1890,13,27,35,40
May 1891,Jan 1893,10,20,37,30
Jun 1894,Dec 1895,17,18,37,35
Jun 1897,Jun 1899,18,24,36,42
Dec 1900,Sep 1902,18,21,42,39
Oct 1904,May 1907,23,33,44,56
Jun 1908,Jan 1910,13,19,46,32
Jan 1912,Jan 1913,24,12,43,36
Dec 1914,Aug 1918,23,44,35,67
Mar 1919,Jan 1920,7,10,51,17
Jul 1921,May 1923,18,22,28,40
Jul 1924,Oct 1926,14,27,36,41
Nov 1927,Aug 1929,13,21,40,34
Mar 1933,May 1937,43,50,64,93
Jun 1938,Feb 1945,13,80,63,93
Oct 1945,Nov 1948,8,37,88,45
Oct 1949,Jul 1953,11,45,48,56
May 1954,Aug 1957,10,39,55,49
Apr 1958,Apr 1960,8,24,47,32
Feb 1961,Dec 1969,10,106,34,116
Nov 1970,Nov 1973,11,36,117,47
Mar 1975,Jan 1980,16,58,52,74
Jul 1980,Jul 1981,6,12,64,18
Nov 1982,Jul 1990,16,92,28,108
Mar 1991,Mar 2001,8,120,100,128
