Year,Month,SharesSoldOnTheNewYorkStockExchange_Cb52_Million ,StockPriceIndexes_Dow-Jones_Cb53_DollarsPerShare ,StockPriceIndexes_StandardAndPoor's_Cb54_Index1935–1939100 
1919,1,11.86,81.65,66.7
1919,2,12.26,82.45,67
1919,3,21.34,86.55,69
1919,4,28.76,91.15,71.3
1919,5,34.73,99.4,76.2
1919,6,33.54,103.6,78.3
1919,7,34.69,109.7,80.8
1919,8,24.37,103.25,75.4
1919,9,24.06,108.2,76.6
1919,10,37.37,113.9,80.5
1919,11,30.27,111.6,78.1
1919,12,25.02,105.8,75.8
1920,1,20.02,105.9,75
1920,2,22.11,96.5,68.8
1920,3,29,97.95,73.7
1920,4,28.43,99.45,73.1
1920,5,16.63,91.1,68.5
1920,6,9.33,91.7,67.3
1920,7,12.58,90.7,67.2
1920,8,13.81,85.25,64.6
1920,9,15.43,86.5,66.9
1920,10,13.66,84.85,67
1920,11,22.29,79.3,63.6
1920,12,24.35,72.2,57.9
1921,1,16.13,74.75,60.4
1921,2,10.27,75.7,60
1921,3,15.96,75.05,58.5
1921,4,15.74,77,58.7
1921,5,17.12,76.7,60.5
1921,6,18.41,69.2,55.7
1921,7,9.25,68.6,55.5
1921,8,11.05,66.95,54.8
1921,9,12.76,69.35,56.2
1921,10,13.13,71.7,56.9
1921,11,15.32,75.7,60
1921,12,17.64,79.8,62.1
1922,1,15.49,80.6,62
1922,2,16.16,83.75,63.4
1922,3,22.62,87.2,65.8
1922,4,30.67,91.3,69.8
1922,5,29.64,93.95,72.5
1922,6,24.51,93.55,71.8
1922,7,15.42,95,72.3
1922,8,17.9,98.5,75
1922,9,21.9,99.2,72
1922,10,25.75,99.75,78.7
1922,11,21.06,95.75,74.8
1922,12,19.77,97,74.6
1923,1,20.47,98.2,75.6
1923,2,22.83,100.8,78.9
1923,3,25.94,103.9,80.1
1923,4,20.2,100.55,77.3
1923,5,23.27,95.5,73.7
1923,6,19.93,92.55,70.9
1923,7,12.64,89.3,68.5
1923,8,13.45,90.45,68.8
1923,9,14.69,90.75,69.3
1923,10,15.89,88.15,68.2
1923,11,22.59,90.65,70.3
1923,12,24.59,94.1,72.7
1924,1,27.07,97.8,75
1924,2,20.63,98.8,75.4
1924,3,18.39,95.6,73.9
1924,4,17.83,91.95,72.2
1924,5,13.59,90.4,72
1924,6,16.98,93.3,73.3
1924,7,24.33,99.25,76.7
1924,8,22.84,103.55,79.4
1924,9,18.47,102.9,78.6
1924,10,17.91,101.65,77.6
1924,11,42.13,107.65,81.9
1924,12,43.88,115.45,86.3
1925,1,42.17,121.55,89.9
1925,2,33.38,120.45,90.7
1925,3,39.17,120.35,88.3
1925,4,25.34,119.7,87.4
1925,5,36.97,125.55,90.2
1925,6,31.22,128.9,91.8
1925,7,33.05,133.9,94.3
1925,8,33.08,138.85,95.6
1925,9,37.45,142.45,97.8
1925,10,54.69,150.65,101
1925,11,49.72,153.8,104.2
1925,12,43.49,154.55,105.9
1926,1,39.25,156.1,107.5
1926,2,35.73,158.4,107.5
1926,3,52.32,144.25,101.2
1926,4,30.53,140.55,98.1
1926,5,23.45,140.3,98.4
1926,6,38.03,148.15,102.6
1926,7,37.06,156.8,105.6
1926,8,44.83,163.5,108.7
1926,9,37.39,161.2,110.1
1926,10,40.1,152.7,107.3
1926,11,31.33,153.95,108.9
1926,12,41.85,159.3,111.3
1927,1,34.6,154.65,111.5
1927,2,44.56,158.15,113.9
1927,3,49.69,160.1,115.2
1927,4,49.89,164.05,117.3
1927,5,46.82,168.8,120.6
1927,6,48.28,168.85,121.9
1927,7,39.06,175.35,123.8
1927,8,51.27,183.85,128.8
1927,9,52.07,195.3,134.8
1927,10,50.87,189.8,133.8
1927,11,51.8,189.95,136.9
1927,12,62.8,198,140.5
1928,1,57.68,198.95,141.9
1928,2,47.09,195.35,139.7
1928,3,86.01,204.5,145.6
1928,4,81.63,212.45,154.1
1928,5,84.8,216.3,160.6
1928,6,65.34,211.5,153.4
1928,7,38.83,210.85,152.3
1928,8,68.81,227.25,156.6
1928,9,92.33,239.3,165.4
1928,10,99.63,247.45,168
1928,11,116.05,274.9,180.7
1928,12,92.69,278.65,181
1929,1,110.8,307.25,195.6
1929,2,77.97,309,196.9
1929,3,105.63,308.85,199.7
1929,4,82.59,309.2,197
1929,5,91.31,310.25,198.3
1929,6,69.55,316.45,201.4
1929,7,93.38,341.45,218.9
1929,8,95.6,359.15,230.3
1929,9,100.06,362.35,237.8
1929,10,141.67,291.5,213
1929,11,72.46,228.2,159.6
1929,12,83.58,247.2,162.4
1930,1,62.31,255.65,165
1930,2,68.72,267.4,174.8
1930,3,96.56,278.25,182
1930,4,111.04,285.5,191.1
